REQUEST_TIME,DEVICE_IP,ID,USER_ID,ID_TYPE,OPERATING_SYSTEM
24:55.0,37.139.88.154,_3DGSL4HCXQ3PO2I_SOJ303B4551NP5DE5TP,2,IDFV,ios
29:17.0,37.139.88.154,_3DGSL4HCXQ3PO2I_SOJ303B4551NP5DE5TP,2,IDFV,ios
30:15.0,37.139.88.154,_3DGSL4HCXQ3PO2I_SOJ303B4551NP5DE5TP,2,IDFV,ios
38:14.0,37.139.88.154,_3DGSL4HCXQ3PO2I_SOJ303B4551NP5DE5TP,2,IDFV,ios
01:10.0,119.102.39.239,1INVNBYCL37N_QMZHKB_AQOWY0X70PFCU_71,2,IDFV,ios
00:26.6,2001:ab24:a49c:::,Y_EV2J24PHL0DD3KEI3ZJ5,7,WEB_ID,android
00:42.2,2001:ab24:a49c:::,Y_EV2J24PHL0DD3KEI3ZJ5,7,WEB_ID,android
00:57.3,2001:ab24:a49c:::,Y_EV2J24PHL0DD3KEI3ZJ5,7,WEB_ID,android
01:12.5,2001:ab24:a49c:::,Y_EV2J24PHL0DD3KEI3ZJ5,7,WEB_ID,android
34:10.0,37.139.88.154,_3DGSL4HCXQ3PO2I_SOJ303B4551NP5DE5TP,2,IDFV,ios
48:59.0,37.139.88.154,_3DGSL4HCXQ3PO2I_SOJ303B4551NP5DE5TP,2,IDFV,ios
54:38.0,37.139.88.154,_3DGSL4HCXQ3PO2I_SOJ303B4551NP5DE5TP,2,IDFV,ios
59:16.0,37.139.88.154,_3DGSL4HCXQ3PO2I_SOJ303B4551NP5DE5TP,2,IDFV,ios
07:04.0,37.139.88.154,_3DGSL4HCXQ3PO2I_SOJ303B4551NP5DE5TP,2,IDFV,ios
13:57.0,37.139.88.154,_3DGSL4HCXQ3PO2I_SOJ303B4551NP5DE5TP,2,IDFV,ios
16:21.0,37.139.88.154,_3DGSL4HCXQ3PO2I_SOJ303B4551NP5DE5TP,2,IDFV,ios
18:04.0,119.102.39.239,1INVNBYCL37N_QMZHKB_AQOWY0X70PFCU_71,2,IDFV,ios
20:55.0,176.63.85.233,_3DGSL4HCXQ3PO2I_SOJ303B4551NP5DE5TP,2,IDFV,ios
11:58.0,176.63.85.233,_3DGSL4HCXQ3PO2I_SOJ303B4551NP5DE5TP,2,IDFV,ios
04:59.8,2001:ab24:a49c:::,Y_EV2J24PHL0DD3KEI3ZJ5,7,WEB_ID,android
05:00.3,2001:ab24:a49c:::,Y_EV2J24PHL0DD3KEI3ZJ5,7,WEB_ID,android
05:01.0,2001:ab24:a49c:::,Y_EV2J24PHL0DD3KEI3ZJ5,7,WEB_ID,android
04:50.0,2001:ab24:a49c:::,Y_EV2J24PHL0DD3KEI3ZJ5,7,WEB_ID,android
05:06.1,2001:ab24:a49c:::,Y_EV2J24PHL0DD3KEI3ZJ5,7,WEB_ID,android
11:33.4,2001:ab24:a49c:::,Y_EV2J24PHL0DD3KEI3ZJ5,7,WEB_ID,android
13:17.2,2001:ab24:a49c:::,Y_EV2J24PHL0DD3KEI3ZJ5,7,WEB_ID,android
13:28.4,2001:ab24:a49c:::,Y_EV2J24PHL0DD3KEI3ZJ5,7,WEB_ID,android
18:38.9,2001:ab24:a49c:::,Y_EV2J24PHL0DD3KEI3ZJ5,7,WEB_ID,android
19:06.1,2001:ab24:a49c:::,Y_EV2J24PHL0DD3KEI3ZJ5,7,WEB_ID,android
19:36.8,2001:ab24:a49c:::,Y_EV2J24PHL0DD3KEI3ZJ5,7,WEB_ID,android
22:32.9,2001:ab24:a49c:::,Y_EV2J24PHL0DD3KEI3ZJ5,7,WEB_ID,android
22:33.4,2001:ab24:a49c:::,Y_EV2J24PHL0DD3KEI3ZJ5,7,WEB_ID,android
16:47.2,20.253.65.53,LET6OEYL42RUMUPW8ZZ5US,7,WEB_ID,android
16:57.6,2001:9be2:165c:::,LET6OEYL42RUMUPW8ZZ5US,7,WEB_ID,android
17:02.1,2001:9be2:165c:::,LET6OEYL42RUMUPW8ZZ5US,7,WEB_ID,android
18:41.5,2001:9be2:165c:::,LET6OEYL42RUMUPW8ZZ5US,7,WEB_ID,android
18:41.5,2001:9be2:165c:::,LET6OEYL42RUMUPW8ZZ5US,7,WEB_ID,android
18:56.8,2001:9be2:165c:::,LET6OEYL42RUMUPW8ZZ5US,7,WEB_ID,android
18:56.8,2001:9be2:165c:::,LET6OEYL42RUMUPW8ZZ5US,7,WEB_ID,android
19:13.4,2001:9be2:165c:::,LET6OEYL42RUMUPW8ZZ5US,7,WEB_ID,android
19:43.7,2001:9be2:165c:::,LET6OEYL42RUMUPW8ZZ5US,7,WEB_ID,android
22:41.5,2001:9be2:165c:::,LET6OEYL42RUMUPW8ZZ5US,7,WEB_ID,android
23:12.4,2001:9be2:165c:::,LET6OEYL42RUMUPW8ZZ5US,7,WEB_ID,android
25:57.7,2001:9be2:165c:::,LET6OEYL42RUMUPW8ZZ5US,7,WEB_ID,android
28:10.0,2001:9be2:165c:::,LET6OEYL42RUMUPW8ZZ5US,7,WEB_ID,android
30:48.3,2001:9be2:165c:::,LET6OEYL42RUMUPW8ZZ5US,7,WEB_ID,android
31:51.1,2001:9be2:165c:::,LET6OEYL42RUMUPW8ZZ5US,7,WEB_ID,android
31:56.6,2001:9be2:165c:::,LET6OEYL42RUMUPW8ZZ5US,7,WEB_ID,android
32:01.8,2001:9be2:165c:::,LET6OEYL42RUMUPW8ZZ5US,7,WEB_ID,android
32:05.3,2001:9be2:165c:::,LET6OEYL42RUMUPW8ZZ5US,7,WEB_ID,android
32:05.5,2001:9be2:165c:::,LET6OEYL42RUMUPW8ZZ5US,7,WEB_ID,android
33:07.1,2001:9be2:165c:::,LET6OEYL42RUMUPW8ZZ5US,7,WEB_ID,android
36:26.9,2001:9be2:165c:::,LET6OEYL42RUMUPW8ZZ5US,7,WEB_ID,android
44:57.2,2001:9be2:165c:::,LET6OEYL42RUMUPW8ZZ5US,7,WEB_ID,android
